"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","Создание заказа с разными вариантами цвета","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","Создание заказа","",""
"","0","test_create_courier_returns_ok_true","tests","2026-07-16","broken","2026-07-16","TestCreateCourier","Создание курьера","",""
"","298","Тело ответа содержит track при создании заказа","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","Создание заказа","",""
"","298","Нельзя создать двух одинаковых курьеров","tests","2026-07-20","passed","2026-07-20","TestCreateCourier","Создание курьера","",""
"","60277","Если какого-то поля нет, запрос возвращает ошибку","tests","2026-07-20","failed","2026-07-20","TestLoginCourier","Логин курьера","",""
"","281","Курьер может авторизоваться","tests","2026-07-20","passed","2026-07-20","TestLoginCourier","Логин курьера","",""
"","307","Система вернёт ошибку при неверном пароле","tests","2026-07-20","passed","2026-07-20","TestLoginCourier","Логин курьера","",""
"","286","Успешный запрос возвращает {""ok"": true}","tests","2026-07-20","passed","2026-07-20","TestCreateCourier","Создание курьера","",""
"","294","Создание заказа с разными вариантами цвета","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","Создание заказа","",""
"","0","test_pytest_works","tests","2026-07-16","passed","2026-07-16","","test_check","",""
"","295","Создание заказа с разными вариантами цвета","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","Создание заказа","",""
"","296","Нельзя создать курьера без обязательного поля","tests","2026-07-20","passed","2026-07-20","TestCreateCourier","Создание курьера","",""
"","0","Курьера можно создать","tests","2026-07-20","passed","2026-07-20","TestCreateCourier","Создание курьера","",""
"","12717","Тело ответа содержит список заказов","tests","2026-07-20","passed","2026-07-20","TestOrdersList","Список заказов","",""
"","339","Создание заказа с разными вариантами цвета","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","Создание заказа","",""
